"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2","is_neurotransmitter","ligand.symbol","ligand.family","ligand.location","ligand.keyword","ligand.secreted_type","ligand.transmembrane","receptor.symbol","receptor.family","receptor.location","receptor.keyword","receptor.surfaceome_main","receptor.surfaceome_sub","receptor.adhesome","receptor.secreted_type","receptor.transmembrane","version"
"UCN2_CRHR2","UCN2_CRHR2","UCN","UCN2","CRHR2","","","","","KEGG: hsa04080","Secreted Signaling","UCN2 - CRHR2",FALSE,"UCN2","Sauvagine/corticotropin-releasing factor/urotensin I","Secreted","Glycoprotein, Signal, Reference proteome, 3D-structure, Secreted, Hormone","hormone",FALSE,"CRHR2","G-protein coupled receptor 2","Cell membrane","Transducer, Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, Alternative splicing, G-protein coupled receptor, 3D-structure, Glycoprotein","Receptors","GPCR;Secretin","","",TRUE,"CellChatDB v1"
"UCN3_CRHR1","UCN3_CRHR1","UCN","UCN3","CRHR1","","","","","KEGG: hsa04080","Secreted Signaling","UCN3 - CRHR1",FALSE,"UCN3","Sauvagine/corticotropin-releasing factor/urotensin I","Secreted","Secreted, Signal, Reference proteome, 3D-structure, Amidation, Hormone","hormone",FALSE,"CRHR1","G-protein coupled receptor 2","Cell membrane, Endosome","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Transducer, Signal, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Direct protein sequencing, G-protein coupled receptor, 3D-structure, Endosome","Receptors","GPCR;Secretin","","",TRUE,"CellChatDB v1"
"UCN3_CRHR2","UCN3_CRHR2","UCN","UCN3","CRHR2","","","","","KEGG: hsa04080","Secreted Signaling","UCN3 - CRHR2",FALSE,"UCN3","Sauvagine/corticotropin-releasing factor/urotensin I","Secreted","Secreted, Signal, Reference proteome, 3D-structure, Amidation, Hormone","hormone",FALSE,"CRHR2","G-protein coupled receptor 2","Cell membrane","Transducer, Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, Alternative splicing, G-protein coupled receptor, 3D-structure, Glycoprotein","Receptors","GPCR;Secretin","","",TRUE,"CellChatDB v1"
"UTS2B_UTS2R","UTS2B_UTS2R","UROTENSIN","UTS2B","UTS2R","","","","","PMID: 31556942","Secreted Signaling","UTS2B - UTS2R",FALSE,"UTS2B","Urotensin-2","Secreted","Cleavage on pair of basic residues, Secreted, Signal, Reference proteome, Disulfide bond, Hormone","hormone",FALSE,"UTS2R","G-protein coupled receptor 1","Cell membrane","Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, G-protein coupled receptor, 3D-structure, Glycoprotein","Receptors","GPCR;Rhodopsin","","",TRUE,"CellChatDB v1"
"UTS2B_SSTR5","UTS2B_SSTR5","UROTENSIN","UTS2B","SSTR5","","","","","PMID: 31556942","Secreted Signaling","UTS2B - SSTR5",FALSE,"UTS2B","Urotensin-2","Secreted","Cleavage on pair of basic residues, Secreted, Signal, Reference proteome, Disulfide bond, Hormone","hormone",FALSE,"SSTR5","G-protein coupled receptor 1","Cell membrane","Transducer, Membrane, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, Palmitate, Glycoprotein","Receptors","GPCR;Rhodopsin","","",TRUE,"CellChatDB v1"
"BAG6_NCR3-PS","BAG6_NCR3-PS","BAG","BAG6","NCR3","","","","","PMID: 30021652","Secreted Signaling","BAG6 - NCR3-PS",FALSE,"BAG6","","Cytoplasm, Secreted, Nucleus, Cytosol, Extracellular exosome","Immunity, Secreted, Differentiation, Spermatogenesis, Cytoplasm, Alternative splicing, Repeat, Chaperone, Reference proteome, Nucleus, Phosphoprotein, Transport, Apoptosis, 3D-structure, Chromatin regulator, Acetylation, Ubl conjugation","",FALSE,"NCR3","Natural cytotoxicity receptor (NCR)","Cell membrane","Immunity, Membrane, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, Alternative splicing, 3D-structure, Glycoprotein","Receptors","IG;OtherNCR","","",TRUE,"CellChatDB v1"
"LGALS9_HAVCR2","LGALS9_HAVCR2","GALECTIN","LGALS9","HAVCR2","","","","","PMID: 27192565","Secreted Signaling","LGALS9 - HAVCR2",FALSE,"LGALS9","","Cytoplasm, Secreted, Nucleus","Lectin, Immunity, Reference proteome, Nucleus, Secreted, Chemotaxis, Cytoplasm, Alternative splicing, 3D-structure, Repeat","immune-related",FALSE,"HAVCR2","Immunoglobulin superfamily, TIM","Cell membrane, Membrane, Cell junction","Immunity, Membrane, Disulfide bond, Transmembrane, Alternative splicing, Adaptive immunity, Glycoprotein, Disease variant, Signal, Reference proteome, Immunoglobulin domain, Metal-binding, Innate immunity, Transmembrane helix, Cell membrane, Phosphoprotein, 3D-structure, Cell junction, Inflammatory response","Unclassified","Unclassified","","",TRUE,"CellChatDB v1"
"LGALS9_CD44","LGALS9_CD44","GALECTIN","LGALS9","CD44","","","","","PMID: 25065622","Secreted Signaling","LGALS9 - CD44",FALSE,"LGALS9","","Cytoplasm, Secreted, Nucleus","Lectin, Immunity, Reference proteome, Nucleus, Secreted, Chemotaxis, Cytoplasm, Alternative splicing, 3D-structure, Repeat","immune-related",FALSE,"CD44","","Cell membrane, Microvillus, Cell projection","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Blood group antigen, Glycoprotein, Cell projection, Signal, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Direct protein sequencing, 3D-structure, Cell adhesion, Proteoglycan","Unclassified","Unclassified","","",TRUE,"CellChatDB v1"
"COL1A1_ITGA1_ITGB1","COL1A1_ITGA1_ITGB1","COLLAGEN","COL1A1","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL1A1 - (ITGA1+ITGB1)",FALSE,"COL1A1","Fibrillar collagen","Extracellular matrix, Secreted, Extracellular space","Secreted, Osteogenesis imperfecta, Disulfide bond, Extracellular matrix, Glycoprotein, Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Pyrrolidone carboxylic acid, Collagen, Metal-binding, Phosphoprotein, Direct protein sequencing, Ehlers-Danlos syndrome, Calcium, 3D-structure, Hydroxylation, Dwarfism, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL1A2_ITGA1_ITGB1","COL1A2_ITGA1_ITGB1","COLLAGEN","COL1A2","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL1A2 - (ITGA1+ITGB1)",FALSE,"COL1A2","Fibrillar collagen","Extracellular matrix, Secreted, Extracellular space","Secreted, Osteogenesis imperfecta, Disulfide bond, Extracellular matrix, Glycoprotein, Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Pyrrolidone carboxylic acid, Collagen, Metal-binding, Direct protein sequencing, Ehlers-Danlos syndrome, Calcium, 3D-structure, Hydroxylation, Dwarfism, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL2A1_ITGA1_ITGB1","COL2A1_ITGA1_ITGB1","COLLAGEN","COL2A1","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL2A1 - (ITGA1+ITGB1)",FALSE,"COL2A1","Fibrillar collagen","Extracellular matrix, Secreted, Extracellular space","Cataract, Stickler syndrome, Secreted, Disulfide bond, Extracellular matrix, Alternative splicing, Deafness, Glycoprotein, Disease variant, Signal, Reference proteome, Collagen, Metal-binding, Direct protein sequencing, Calcium, 3D-structure, Hydroxylation, Dwarfism, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL4A1_ITGA1_ITGB1","COL4A1_ITGA1_ITGB1","COLLAGEN","COL4A1","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL4A1 - (ITGA1+ITGB1)",FALSE,"COL4A1","Type IV collagen","Extracellular matrix, Secreted, Extracellular space, Basement membrane","Disease variant, Signal, Reference proteome, Collagen, Basement membrane, Disulfide bond, Secreted, Extracellular matrix, Direct protein sequencing, Angiogenesis, Glycoprotein, Alternative splicing, 3D-structure, Hydroxylation, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL4A2_ITGA1_ITGB1","COL4A2_ITGA1_ITGB1","COLLAGEN","COL4A2","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL4A2 - (ITGA1+ITGB1)",FALSE,"COL4A2","Type IV collagen","Extracellular matrix, Secreted, Extracellular space, Basement membrane","Disease variant, Signal, Reference proteome, Collagen, Basement membrane, Disulfide bond, Secreted, Extracellular matrix, Direct protein sequencing, Bromination, Angiogenesis, Glycoprotein, 3D-structure, Hydroxylation, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL4A3_ITGA1_ITGB1","COL4A3_ITGA1_ITGB1","COLLAGEN","COL4A3","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL4A3 - (ITGA1+ITGB1)",FALSE,"COL4A3","Type IV collagen","Extracellular matrix, Secreted, Extracellular space, Basement membrane","Basement membrane, Disulfide bond, Secreted, Extracellular matrix, Alternative splicing, Deafness, Alport syndrome, Glycoprotein, Disease variant, Signal, Reference proteome, Collagen, Phosphoprotein, Direct protein sequencing, 3D-structure, Hydroxylation, Cell adhesion, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL4A4_ITGA1_ITGB1","COL4A4_ITGA1_ITGB1","COLLAGEN","COL4A4","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL4A4 - (ITGA1+ITGB1)",FALSE,"COL4A4","Type IV collagen","Extracellular matrix, Secreted, Extracellular space, Basement membrane","Disease variant, Signal, Reference proteome, Collagen, Basement membrane, Disulfide bond, Secreted, Extracellular matrix, Glycoprotein, Deafness, 3D-structure, Hydroxylation, Alport syndrome, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL4A5_ITGA1_ITGB1","COL4A5_ITGA1_ITGB1","COLLAGEN","COL4A5","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL4A5 - (ITGA1+ITGB1)",FALSE,"COL4A5","Type IV collagen","Extracellular matrix, Secreted, Extracellular space, Basement membrane","Basement membrane, Disulfide bond, Secreted, Extracellular matrix, Alternative splicing, Deafness, Alport syndrome, Glycoprotein, Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Collagen, 3D-structure, Hydroxylation, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL4A6_ITGA1_ITGB1","COL4A6_ITGA1_ITGB1","COLLAGEN","COL4A6","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL4A6 - (ITGA1+ITGB1)",FALSE,"COL4A6","Type IV collagen","Extracellular matrix, Secreted, Extracellular space, Basement membrane","Basement membrane, Disulfide bond, Secreted, Extracellular matrix, Alternative splicing, Deafness, Glycoprotein, Disease variant, Chromosomal rearrangement, Signal, Reference proteome, Collagen, Hydroxylation, Non-syndromic deafness, Cell adhesion, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL6A1_ITGA1_ITGB1","COL6A1_ITGA1_ITGB1","COLLAGEN","COL6A1","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL6A1 - (ITGA1+ITGB1)",FALSE,"COL6A1","Type VI collagen","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Collagen, Extracellular matrix, Secreted, Congenital muscular dystrophy, Limb-girdle muscular dystrophy, Direct protein sequencing, Repeat, Hydroxylation, Cell adhesion, Glycoprotein","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL6A2_ITGA1_ITGB1","COL6A2_ITGA1_ITGB1","COLLAGEN","COL6A2","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL6A2 - (ITGA1+ITGB1)",FALSE,"COL6A2","Type VI collagen","Extracellular matrix, Secreted, Extracellular space, Membrane","Membrane, Extracellular matrix, Secreted, Alternative splicing, Glycoprotein, Disease variant, Signal, Reference proteome, Collagen, Phosphoprotein, Congenital muscular dystrophy, Limb-girdle muscular dystrophy, Direct protein sequencing, Hydroxylation, Cell adhesion, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL6A3_ITGA1_ITGB1","COL6A3_ITGA1_ITGB1","COLLAGEN","COL6A3","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL6A3 - (ITGA1+ITGB1)",FALSE,"COL6A3","Type VI collagen","Extracellular matrix, Secreted, Extracellular space","Dystonia, Protease inhibitor, Secreted, Disulfide bond, Extracellular matrix, Alternative splicing, Serine protease inhibitor, Glycoprotein, Disease variant, Signal, Reference proteome, Collagen, Phosphoprotein, Congenital muscular dystrophy, Direct protein sequencing, Limb-girdle muscular dystrophy, 3D-structure, Hydroxylation, Cell adhesion, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL6A5_ITGA1_ITGB1","COL6A5_ITGA1_ITGB1","COLLAGEN","COL6A5","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL6A5 - (ITGA1+ITGB1)",FALSE,"COL6A5","Type VI collagen","Extracellular matrix, Secreted, Extracellular space","Signal, Reference proteome, Collagen, Extracellular matrix, Secreted, Alternative splicing, Repeat, Hydroxylation, Cell adhesion, Glycoprotein","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL6A6_ITGA1_ITGB1","COL6A6_ITGA1_ITGB1","COLLAGEN","COL6A6","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL6A6 - (ITGA1+ITGB1)",FALSE,"COL6A6","Type VI collagen","Extracellular matrix, Secreted, Extracellular space","Signal, Reference proteome, Collagen, Extracellular matrix, Secreted, Alternative splicing, Repeat, Hydroxylation, Cell adhesion, Glycoprotein","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL9A1_ITGA1_ITGB1","COL9A1_ITGA1_ITGB1","COLLAGEN","COL9A1","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL9A1 - (ITGA1+ITGB1)",FALSE,"COL9A1","Fibril-associated collagens with interrupted helices (FACIT)","Extracellular matrix, Secreted, Extracellular space","Stickler syndrome, Extracellular matrix, Disulfide bond, Secreted, Alternative splicing, Deafness, Glycoprotein, Signal, Reference proteome, Collagen, Metal-binding, Direct protein sequencing, Zinc, 3D-structure, Hydroxylation, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL9A2_ITGA1_ITGB1","COL9A2_ITGA1_ITGB1","COLLAGEN","COL9A2","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL9A2 - (ITGA1+ITGB1)",FALSE,"COL9A2","Fibril-associated collagens with interrupted helices (FACIT)","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Stickler syndrome, Reference proteome, Collagen, Disulfide bond, Secreted, Extracellular matrix, Glycoprotein, Deafness, 3D-structure, Hydroxylation, Dwarfism, Proteoglycan, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
"COL9A3_ITGA1_ITGB1","COL9A3_ITGA1_ITGB1","COLLAGEN","COL9A3","ITGA1_ITGB1","","","","","KEGG: hsa04512","ECM-Receptor","COL9A3 - (ITGA1+ITGB1)",FALSE,"COL9A3","Fibril-associated collagens with interrupted helices (FACIT)","Extracellular matrix, Secreted, Extracellular space","Disease variant, Signal, Reference proteome, Collagen, Extracellular matrix, Secreted, Glycoprotein, 3D-structure, Hydroxylation, Dwarfism, Repeat","secreted",FALSE,"ITGB1, ITGA1","Integrin beta chain, Integrin alpha chain","Ruffle membrane, Melanosome, Ruffle, Focal adhesion, Cell projection, Cleavage furrow, Recycling endosome, Invadopodium membrane, Lamellipodium, Cell membrane, Cell surface, Cell junction, Membrane","Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Endosome, Host cell receptor for virus entry, Receptor, Magnesium, Alternative splicing, Repeat, Glycoprotein, Cell projection, Signal, Reference proteome, Integrin, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Acetylation, Isopeptide bond, 3D-structure, Cell junction, Cell adhesion, Myogenesis, Ubl conjugation","Receptors","Integrin;Other_receptors","Adhesion receptor","",TRUE,"CellChatDB v1"
